distrito_pr,distrito,populacao_total,ano,tamanho_em_ha,tamanho_em_m2,tamanho_em_km2,razao_residentes_0_4,razao_residentes_5_9,razao_residentes_10_14,razao_residentes_15_19,razao_residentes_20_24,razao_residentes_25_29,razao_residentes_30_34,razao_residentes_35_39,razao_residentes_40_44,razao_residentes_45_49,razao_residentes_50_54,razao_residentes_55_59,razao_residentes_60_64,razao_residentes_65_69,razao_residentes_70_74,razao_residentes_75_79,razao_residentes_80_84,razao_residentes_85_89,razao_residentes_90_94,razao_residentes_95_99,razao_residentes_100
campo grande,Campo Grande,105413,2018,1.31,13100000,"13,1",0.05646738752693297,0.05697377697020246,0.06506607885774428,0.06494692840050441,0.07451868179877473,0.08724792231390188,0.09303664869480603,0.0843585237258348,0.0817868596904074,0.07695133696742228,0.06790583142196141,0.05515673249729429,0.042536713234637036,0.03141600389224827,0.02459464021526516,0.01739596675702243,0.011438443895028447,0.005590142285504354,0.0017773276538282049,5.461062623494485E-4,2.9787614309969916E-5
campo grande,Campo Grande,105956,2019,1.31,13100000,"13,1",0.05646738752693297,0.05697377697020246,0.06506607885774428,0.06494692840050441,0.07451868179877473,0.08724792231390188,0.09303664869480603,0.0843585237258348,0.0817868596904074,0.07695133696742228,0.06790583142196141,0.05515673249729429,0.042536713234637036,0.03141600389224827,0.02459464021526516,0.01739596675702243,0.011438443895028447,0.005590142285504354,0.0017773276538282049,5.461062623494485E-4,2.9787614309969916E-5
campo grande,Campo Grande,106487,2020,1.31,13100000,"13,1",0.05646738752693297,0.05697377697020246,0.06506607885774428,0.06494692840050441,0.07451868179877473,0.08724792231390188,0.09303664869480603,0.0843585237258348,0.0817868596904074,0.07695133696742228,0.06790583142196141,0.05515673249729429,0.042536713234637036,0.03141600389224827,0.02459464021526516,0.01739596675702243,0.011438443895028447,0.005590142285504354,0.0017773276538282049,5.461062623494485E-4,2.9787614309969916E-5
campo grande,Campo Grande,107021,2021,1.31,13100000,"13,1",0.05646738752693297,0.05697377697020246,0.06506607885774428,0.06494692840050441,0.07451868179877473,0.08724792231390188,0.09303664869480603,0.0843585237258348,0.0817868596904074,0.07695133696742228,0.06790583142196141,0.05515673249729429,0.042536713234637036,0.03141600389224827,0.02459464021526516,0.01739596675702243,0.011438443895028447,0.005590142285504354,0.0017773276538282049,5.461062623494485E-4,2.9787614309969916E-5
campo limpo,Campo Limpo,220250,2017,1.28,12800000,"12,8",0.0729226300026968,0.07536868201796926,0.08714001163885485,0.07911109428891801,0.09252889605934869,0.10102147510657122,0.09769541211481778,0.08484535936147161,0.07219401876410501,0.060129352151059086,0.053420451265843744,0.04168224033762141,0.030365109930403433,0.01964884723293323,0.014236306603394193,0.008705484928629218,0.0053936156623028845,0.002365620904518809,9.03667185526185E-4,1.797871887434295E-4,4.731241809037618E-5
campo limpo,Campo Limpo,221439,2018,1.28,12800000,"12,8",0.0729226300026968,0.07536868201796926,0.08714001163885485,0.07911109428891801,0.09252889605934869,0.10102147510657122,0.09769541211481778,0.08484535936147161,0.07219401876410501,0.060129352151059086,0.053420451265843744,0.04168224033762141,0.030365109930403433,0.01964884723293323,0.014236306603394193,0.008705484928629218,0.0053936156623028845,0.002365620904518809,9.03667185526185E-4,1.797871887434295E-4,4.731241809037618E-5
campo limpo,Campo Limpo,222607,2019,1.28,12800000,"12,8",0.0729226300026968,0.07536868201796926,0.08714001163885485,0.07911109428891801,0.09252889605934869,0.10102147510657122,0.09769541211481778,0.08484535936147161,0.07219401876410501,0.060129352151059086,0.053420451265843744,0.04168224033762141,0.030365109930403433,0.01964884723293323,0.014236306603394193,0.008705484928629218,0.0053936156623028845,0.002365620904518809,9.03667185526185E-4,1.797871887434295E-4,4.731241809037618E-5
campo limpo,Campo Limpo,223750,2020,1.28,12800000,"12,8",0.0729226300026968,0.07536868201796926,0.08714001163885485,0.07911109428891801,0.09252889605934869,0.10102147510657122,0.09769541211481778,0.08484535936147161,0.07219401876410501,0.060129352151059086,0.053420451265843744,0.04168224033762141,0.030365109930403433,0.01964884723293323,0.014236306603394193,0.008705484928629218,0.0053936156623028845,0.002365620904518809,9.03667185526185E-4,1.797871887434295E-4,4.731241809037618E-5
campo limpo,Campo Limpo,224900,2021,1.28,12800000,"12,8",0.0729226300026968,0.07536868201796926,0.08714001163885485,0.07911109428891801,0.09252889605934869,0.10102147510657122,0.09769541211481778,0.08484535936147161,0.07219401876410501,0.060129352151059086,0.053420451265843744,0.04168224033762141,0.030365109930403433,0.01964884723293323,0.014236306603394193,0.008705484928629218,0.0053936156623028845,0.002365620904518809,9.03667185526185E-4,1.797871887434295E-4,4.731241809037618E-5
capao redondo,Capão Redondo,282240,2017,1.36,13600000,"13,6",0.07376576402249106,0.08018487025962959,0.09149366090001451,0.08402517033889159,0.09581399848918427,0.10099765935198657,0.09383430891344068,0.0815803281372684,0.07203911747522597,0.059186020116920764,0.05080210918806679,0.04097064328747549,0.02976976805629463,0.019309415805514107,0.012101410714883768,0.0070591562503488645,0.004085900665726438,0.0019908532387647036,7.18195654358108E-4,1.9722471337295193E-4,7.442442014073658E-5
